#1:kx	2:ky	3:E1	4:E2
0.753982	2.51327	-3.04783	3.04783
0.753982	2.63894	-3.06707	3.06707
0.753982	2.7646	-3.08228	3.08228
0.753982	2.89027	-3.09327	3.09327
0.753982	3.01593	-3.09991	3.09991
0.753982	3.14159	-3.10214	3.10214
0.753982	3.26726	-3.09991	3.09991
0.753982	3.39292	-3.09327	3.09327
0.753982	3.51858	-3.08228	3.08228
0.753982	3.64425	-3.06707	3.06707
0.753982	3.76991	-3.04783	3.04783
0.753982	3.89557	-3.02478	3.02478
0.753982	4.02124	-2.99819	2.99819
0.753982	4.1469	-2.96842	2.96842
0.753982	4.27257	-2.93582	2.93582
0.753982	4.39823	-2.90083	2.90083
0.753982	4.52389	-2.86393	2.86393
0.753982	4.64956	-2.82564	2.82564
0.753982	4.77522	-2.7865	2.7865
0.753982	4.90088	-2.74713	2.74713
0.753982	5.02655	-2.70814	2.70814
0.753982	5.15221	-2.67017	2.67017
0.753982	5.27788	-2.63388	2.63388
0.753982	5.40354	-2.59994	2.59994
0.753982	5.5292	-2.56896	2.56896
0.753982	5.65487	-2.54157	2.54157
0.753982	5.78053	-2.51831	2.51831
0.753982	5.90619	-2.49968	2.49968
0.753982	6.03186	-2.48607	2.48607
0.753982	6.15752	-2.47778	2.47778

0.879646	0	-2.37176	2.37176
0.879646	0.125664	-2.37632	2.37632
0.879646	0.251327	-2.3899	2.3899
0.879646	0.376991	-2.41212	2.41212
0.879646	0.502655	-2.4424	2.4424
0.879646	0.628319	-2.47999	2.47999
0.879646	0.753982	-2.52397	2.52397
0.879646	0.879646	-2.57335	2.57335
0.879646	1.00531	-2.62707	2.62707
0.879646	1.13097	-2.68404	2.68404
0.879646	1.25664	-2.74319	2.74319
0.879646	1.3823	-2.80349	2.80349
0.879646	1.50796	-2.86393	2.86393
0.879646	1.63363	-2.92359	2.92359
0.879646	1.75929	-2.98161	2.98161
0.879646	1.88496	-3.03717	3.03717
0.879646	2.01062	-3.08957	3.08957
0.879646	2.13628	-3.13816	3.13816
0.879646	2.26195	-3.18235	3.18235
0.879646	2.38761	-3.22166	3.22166
0.879646	2.51327	-3.25564	3.25564
0.879646	2.63894	-3.28393	3.28393
0.879646	2.7646	-3.30624	3.30624
0.879646	2.89027	-3.32233	3.32233
0.879646	3.01593	-3.33206	3.33206
0.879646	3.14159	-3.33531	3.33531
0.879646	3.26726	-3.33206	3.33206
0.879646	3.39292	-3.32233	3.32233
0.879646	3.51858	-3.30624	3.30624
0.879646	3.64425	-3.28393	3.28393
0.879646	3.76991	-3.25564	3.25564
0.879646	3.89557	-3.22166	3.22166
0.879646	4.02124	-3.18235	3.18235
0.879646	4.1469	-3.13816	3.13816
0.879646	4.27257	-3.08957	3.08957
0.879646	4.39823	-3.03717	3.03717
0.879646	4.52389	-2.98161	2.98161
0.879646	4.64956	-2.92359	2.92359
0.879646	4.77522	-2.86393	2.86393
0.879646	4.90088	-2.80349	2.80349
0.879646	5.02655	-2.74319	2.74319
0.879646	5.15221	-2.68404	2.68404
0.879646	5.27788	-2.62707	2.62707
0.879646	5.40354	-2.57335	2.57335
0.879646	5.5292	-2.52397	2.52397
0.879646	5.65487	-2.47999	2.47999
0.879646	5.78053	-2.4424	2.4424
0.879646	5.90619	-2.41212	2.41212
0.879646	6.03186	-2.3899	2.3899
0.879646	6.15752	-2.37632	2.37632

1.00531	0	-2.26902	2.26902
1.00531	0.125664	-2.27544	2.27544
1.00531	0.251327	-2.29451	2.29451
1.00531	0.376991	-2.32562	2.32562
1.00531	0.502655	-2.3678	2.3678
1.00531	0.628319	-2.41985	2.41985
1.00531	0.753982	-2.48034	2.48034
1.00531	0.879646	-2.54776	2.54776
1.00531	1.00531	-2.62056	2.62056
1.00531	1.13097	-2.69719	2.69719
1.00531	1.25664	-2.77619	2.77619
1.00531	1.3823	-2.85616	2.85616
1.00531	1.50796	-2.93582	2.93582
1.00531	1.63363	-3.01398	3.01398
1.00531	1.75929	-3.08957	3.08957
1.00531	1.88496	-3.16163	3.16163
1.00531	2.01062	-3.22928	3.22928
1.00531	2.13628	-3.29178	3.29178
1.00531	2.26195	-3.34843	3.34843
1.00531	2.38761	-3.39868	3.39868
1.00531	2.51327	-3.44201	3.44201
1.00531	2.63894	-3.47802	3.47802
1.00531	2.7646	-3.50637	3.50637
1.00531	2.89027	-3.5268	3.5268
1.00531	3.01593	-3.53913	3.53913
1.00531	3.14159	-3.54326	3.54326
1.00531	3.26726	-3.53913	3.53913
1.00531	3.39292	-3.5268	3.5268
1.00531	3.51858	-3.50637	3.50637
1.00531	3.64425	-3.47802	3.47802
1.00531	3.76991	-3.44201	3.44201
1.00531	3.89557	-3.39868	3.39868
1.00531	4.02124	-3.34843	3.34843
1.00531	4.1469	-3.29178	3.29178
1.00531	4.27257	-3.22928	3.22928
1.00531	4.39823	-3.16163	3.16163
1.00531	4.52389	-3.08957	3.08957
1.00531	4.64956	-3.01398	3.01398
1.00531	4.77522	-2.93582	2.93582
1.00531	4.90088	-2.85616	2.85616
1.00531	5.02655	-2.77619	2.77619
1.00531	5.15221	-2.69719	2.69719
1.00531	5.27788	-2.62056	2.62056
1.00531	5.40354	-2.54776	2.54776
1.00531	5.5292	-2.48034	2.48034
1.00531	5.65487	-2.41985	2.41985
1.00531	5.78053	-2.3678	2.3678
1.00531	5.90619	-2.32562	2.32562
1.00531	6.03186	-2.29451	2.29451
1.00531	6.15752	-2.27544	2.27544

1.13097	0	-2.17374	2.17374
1.13097	0.125664	-2.18198	2.18198
1.13097	0.251327	-2.20637	2.20637
1.13097	0.376991	-2.24603	2.24603
1.13097	0.502655	-2.29955	2.29955
1.13097	0.628319	-2.36518	2.36518
1.13097	0.753982	-2.44096	2.44096
1.13097	0.879646	-2.52483	2.52483
1.13097	1.00531	-2.61477	2.61477
1.13097	1.13097	-2.70882	2.70882
1.13097	1.25664	-2.80516	2.80516
1.13097	1.3823	-2.90212	2.90212
1.13097	1.50796	-2.99819	2.99819
1.13097	1.63363	-3.09201	3.09201
1.13097	1.75929	-3.18235	3.18235
1.13097	1.88496	-3.26815	3.26815
1.13097	2.01062	-3.34843	3.34843
1.13097	2.13628	-3.42238	3.42238
1.13097	2.26195	-3.48926	3.48926
1.13097	2.38761	-3.54844	3.54844
1.13097	2.51327	-3.59939	3.59939
1.13097	2.63894	-3.64167	3.64167
1.13097	2.7646	-3.67492	3.67492
1.13097	2.89027	-3.69887	3.69887
1.13097	3.01593	-3.71331	3.71331
1.13097	3.14159	-3.71814	3.71814
1.13097	3.26726	-3.71331	3.71331
1.13097	3.39292	-3.69887	3.69887
1.13097	3.51858	-3.67492	3.67492
1.13097	3.64425	-3.64167	3.64167
1.13097	3.76991	-3.59939	3.59939
1.13097	3.89557	-3.54844	3.54844
1.13097	4.02124	-3.48926	3.48926
1.13097	4.1469	-3.42238	3.42238
1.13097	4.27257	-3.34843	3.34843
1.13097	4.39823	-3.26815	3.26815
1.13097	4.52389	-3.18235	3.18235
1.13097	4.64956	-3.09201	3.09201
1.13097	4.77522	-2.99819	2.99819
1.13097	4.90088	-2.90212	2.90212
1.13097	5.02655	-2.80516	2.80516
1.13097	5.15221	-2.70882	2.70882
1.13097	5.27788	-2.61477	2.61477
1.13097	5.40354	-2.52483	2.52483
1.13097	5.5292	-2.44096	2.44096
1.13097	5.65487	-2.36518	2.36518
1.13097	5.78053	-2.29955	2.29955
1.13097	5.90619	-2.24603	2.24603
1.13097	6.03186	-2.20637	2.20637
1.13097	6.15752	-2.18198	2.18198

1.25664	0	-2.09331	2.09331
1.25664	0.125664	-2.10315	2.10315
1.25664	0.251327	-2.13224	2.13224
1.25664	0.376991	-2.17937	2.17937
1.25664	0.502655	-2.24268	2.24268
1.25664	0.628319	-2.31991	2.31991
1.25664	0.753982	-2.40855	2.40855
1.25664	0.879646	-2.50608	2.50608
1.25664	1.00531	-2.61006	2.61006
1.25664	1.13097	-2.7182	2.7182
1.25664	1.25664	-2.82843	2.82843
1.25664	1.3823	-2.93886	2.93886
1.25664	1.50796	-3.04783	3.04783
1.25664	1.63363	-3.15386	3.15386
1.25664	1.75929	-3.25564	3.25564
1.25664	1.88496	-3.35202	3.35202
1.25664	2.01062	-3.44201	3.44201
1.25664	2.13628	-3.52472	3.52472
1.25664	2.26195	-3.59939	3.59939
1.25664	2.38761	-3.66537	3.66537
1.25664	2.51327	-3.72211	3.72211
1.25664	2.63894	-3.76914	3.76914
1.25664	2.7646	-3.8061	3.8061
1.25664	2.89027	-3.8327	3.8327
1.25664	3.01593	-3.84874	3.84874
1.25664	3.14159	-3.8541	3.8541
1.25664	3.26726	-3.84874	3.84874
1.25664	3.39292	-3.8327	3.8327
1.25664	3.51858	-3.8061	3.8061
1.25664	3.64425	-3.76914	3.76914
1.25664	3.76991	-3.72211	3.72211
1.25664	3.89557	-3.66537	3.66537
1.25664	4.02124	-3.59939	3.59939
1.25664	4.1469	-3.52472	3.52472
1.25664	4.27257	-3.44201	3.44201
1.25664	4.39823	-3.35202	3.35202
1.25664	4.52389	-3.25564	3.25564
1.25664	4.64956	-3.15386	3.15386
1.25664	4.77522	-3.04783	3.04783
1.25664	4.90088	-2.93886	2.93886
1.25664	5.02655	-2.82843	2.82843
1.25664	5.15221	-2.7182	2.7182
1.25664	5.27788	-2.61006	2.61006
1.25664	5.40354	-2.50608	2.50608
1.25664	5.5292	-2.40855	2.40855
1.25664	5.65487	-2.31991	2.31991
1.25664	5.78053	-2.24268	2.24268
1.25664	5.90619	-2.17937	2.17937
1.25664	6.03186	-2.13224	2.13224
1.25664	6.15752	-2.10315	2.10315

1.3823	0	-2.03481	2.03481
1.3823	0.125664	-2.04586	2.04586
1.3823	0.251327	-2.07849	2.07849
1.3823	0.376991	-2.13121	2.13121
1.3823	0.502655	-2.20179	2.20179
1.3823	0.628319	-2.28751	2.28751
1.3823	0.753982	-2.38548	2.38548
1.3823	0.879646	-2.4928	2.4928
1.3823	1.00531	-2.60674	2.60674
1.3823	1.13097	-2.72479	2.72479
1.3823	1.25664	-2.84469	2.84469
1.3823	1.3823	-2.96444	2.96444
1.3823	1.50796	-3.08228	3.08228
1.3823	1.63363	-3.19666	3.19666
1.3823	1.75929	-3.30624	3.30624
1.3823	1.88496	-3.40982	3.40982
1.3823	2.01062	-3.50637	3.50637
