#1:n	2:kx	3:s(n,kx)
14	4	9.10567e-16
14	5	9.08059e-16
14	6	9.13086e-16
14	7	9.1869e-16
14	8	9.33893e-16
14	9	9.15467e-16
14	10	9.23944e-16
14	11	9.36892e-16
14	12	9.31355e-16
14	13	9.4185e-16
14	14	9.3892e-16
14	15	9.28869e-16
14	16	9.0366e-16
14	17	8.72508e-16
14	18	9.1761e-16
14	19	8.93865e-16
14	20	8.59548e-16
14	21	8.93682e-16
14	22	9.3399e-16
14	23	8.92549e-16
14	24	9.1519e-16
14	25	9.40206e-16
14	26	9.33479e-16
14	27	9.52773e-16
14	28	9.38897e-16
14	29	9.34979e-16
14	30	1.00112e-15
14	31	9.51603e-16
14	32	9.08634e-16
14	33	9.22662e-16
14	34	9.35321e-16
14	35	9.32291e-16
14	36	9.13909e-16
14	37	9.17486e-16
14	38	9.36419e-16
14	39	9.64724e-16

15	0	8.77468e-16
15	1	9.02494e-16
15	2	9.2785e-16
15	3	9.02155e-16
15	4	9.18175e-16
15	5	9.14439e-16
15	6	9.26725e-16
15	7	9.19322e-16
15	8	9.64952e-16
15	9	9.24336e-16
15	10	9.47036e-16
15	11	9.45562e-16
15	12	9.34478e-16
15	13	9.55749e-16
15	14	9.44819e-16
15	15	9.30771e-16
15	16	9.04709e-16
15	17	8.90845e-16
15	18	9.27057e-16
15	19	9.05065e-16
15	20	8.69713e-16
15	21	8.95051e-16
15	22	9.53489e-16
15	23	9.36568e-16
15	24	9.18743e-16
15	25	9.63128e-16
15	26	9.35706e-16
15	27	9.64053e-16
15	28	9.5199e-16
15	29	9.35899e-16
15	30	1.00504e-15
15	31	9.51618e-16
15	32	9.22706e-16
15	33	9.29285e-16
15	34	9.41088e-16
15	35	9.33402e-16
15	36	9.28629e-16
15	37	9.2717e-16
15	38	9.39758e-16
15	39	9.87896e-16

16	0	8.83076e-16
16	1	9.23145e-16
16	2	9.36793e-16
16	3	9.28872e-16
16	4	9.18225e-16
16	5	9.17468e-16
16	6	9.38119e-16
16	7	9.35881e-16
16	8	9.68241e-16
16	9	9.28471e-16
16	10	9.62468e-16
16	11	9.4721e-16
16	12	9.44636e-16
16	13	9.60734e-16
16	14	9.51927e-16
16	15	9.58695e-16
16	16	9.11919e-16
16	17	9.48062e-16
16	18	9.74415e-16
16	19	9.31884e-16
16	20	8.97084e-16
16	21	8.97211e-16
16	22	1.01306e-15
16	23	9.44183e-16
16	24	9.45068e-16
16	25	9.67867e-16
16	26	9.35722e-16
16	27	9.849e-16
16	28	9.73042e-16
16	29	1.012e-15
16	30	1.0062e-15
16	31	9.55622e-16
16	32	9.35031e-16
16	33	9.40285e-16
16	34	9.41284e-16
16	35	9.71001e-16
16	36	9.30617e-16
16	37	9.54928e-16
16	38	9.49503e-16
16	39	9.97162e-16

17	0	8.83164e-16
17	1	9.62342e-16
17	2	9.5088e-16
17	3	9.29196e-16
17	4	9.22328e-16
17	5	9.89998e-16
17	6	9.55556e-16
17	7	9.46219e-16
17	8	9.69361e-16
17	9	9.60463e-16
17	10	9.86758e-16
17	11	9.99987e-16
17	12	9.74233e-16
17	13	9.67729e-16
17	14	9.94845e-16
17	15	1.00433e-15
17	16	9.30181e-16
17	17	9.98832e-16
17	18	9.87348e-16
