#1:n	2:kx	3:s(n,kx)
3	97	6.71532e-16
3	98	6.71237e-16
3	99	6.71058e-16

4	0	6.92662e-16
4	1	6.71058e-16
4	2	6.71237e-16
4	3	6.71532e-16
4	4	6.71944e-16
4	5	6.7247e-16
4	6	6.73107e-16
4	7	6.73852e-16
4	8	6.74701e-16
4	9	6.7565e-16
4	10	6.76693e-16
4	11	6.77826e-16
4	12	6.79043e-16
4	13	6.80338e-16
4	14	6.81705e-16
4	15	6.83136e-16
4	16	6.84626e-16
4	17	6.86168e-16
4	18	6.87754e-16
4	19	6.89378e-16
4	20	6.91032e-16
4	21	6.92709e-16
4	22	6.94402e-16
4	23	6.96105e-16
4	24	6.97809e-16
4	25	6.9951e-16
4	26	7.01198e-16
4	27	7.0287e-16
4	28	7.04517e-16
4	29	7.06134e-16
4	30	7.07716e-16
4	31	7.09256e-16
4	32	7.10749e-16
4	33	7.12191e-16
4	34	7.13576e-16
4	35	7.149e-16
4	36	7.16158e-16
4	37	7.17347e-16
4	38	7.18462e-16
4	39	7.19501e-16
4	40	7.2046e-16
4	41	7.21337e-16
4	42	7.22128e-16
4	43	7.22831e-16
4	44	7.23445e-16
4	45	7.23968e-16
4	46	7.24397e-16
4	47	7.24732e-16
4	48	7.24972e-16
4	49	7.25117e-16
4	50	7.25165e-16
4	51	7.25117e-16
4	52	7.24972e-16
4	53	7.24732e-16
4	54	7.24397e-16
4	55	7.23968e-16
4	56	7.23445e-16
4	57	7.22831e-16
4	58	7.22128e-16
4	59	7.21337e-16
4	60	7.2046e-16
4	61	7.19501e-16
4	62	7.18462e-16
4	63	7.17347e-16
4	64	7.16158e-16
4	65	7.149e-16
4	66	7.13576e-16
4	67	7.12191e-16
4	68	7.10749e-16
4	69	7.09256e-16
4	70	7.07716e-16
4	71	7.06134e-16
4	72	7.04517e-16
4	73	7.0287e-16
4	74	7.01198e-16
4	75	6.9951e-16
4	76	6.97809e-16
4	77	6.96105e-16
4	78	6.94402e-16
4	79	6.92709e-16
4	80	6.91032e-16
4	81	6.89378e-16
4	82	6.87754e-16
4	83	6.86168e-16
4	84	6.84626e-16
4	85	6.83136e-16
4	86	6.81705e-16
4	87	6.80338e-16
4	88	6.79043e-16
4	89	6.77826e-16
4	90	6.76693e-16
4	91	6.7565e-16
4	92	6.74701e-16
4	93	6.73852e-16
4	94	6.73107e-16
4	95	6.7247e-16
4	96	6.71944e-16
4	97	6.71532e-16
4	98	6.71237e-16
4	99	6.71058e-16

5	0	6.92662e-16
5	1	6.71058e-16
5	2	6.71237e-16
5	3	6.71532e-16
5	4	6.71944e-16
5	5	6.7247e-16
5	6	6.73107e-16
5	7	6.73852e-16
5	8	6.74701e-16
5	9	6.7565e-16
5	10	6.76693e-16
5	11	6.77826e-16
5	12	6.79043e-16
5	13	6.80338e-16
5	14	6.81705e-16
5	15	6.83136e-16
5	16	6.84626e-16
5	17	6.86168e-16
5	18	6.87754e-16
5	19	6.89378e-16
5	20	6.91032e-16
5	21	6.92709e-16
5	22	6.94402e-16
5	23	6.96105e-16
5	24	6.97809e-16
5	25	6.9951e-16
5	26	7.01198e-16
5	27	7.0287e-16
5	28	7.04517e-16
5	29	7.06134e-16
5	30	7.07716e-16
5	31	7.09256e-16
5	32	7.10749e-16
5	33	7.12191e-16
5	34	7.13576e-16
5	35	7.149e-16
5	36	7.16158e-16
5	37	7.17347e-16
5	38	7.18462e-16
5	39	7.19501e-16
5	40	7.2046e-16
5	41	7.21337e-16
5	42	7.22128e-16
5	43	7.22831e-16
5	44	7.23445e-16
5	45	7.23968e-16
5	46	7.24397e-16
5	47	7.24732e-16
5	48	7.24972e-16
5	49	7.25117e-16
5	50	7.25165e-16
5	51	7.25117e-16
5	52	7.24972e-16
5	53	7.24732e-16
5	54	7.24397e-16
5	55	7.23968e-16
5	56	7.23445e-16
5	57	7.22831e-16
5	58	7.22128e-16
5	59	7.21337e-16
5	60	7.2046e-16
5	61	7.19501e-16
5	62	7.18462e-16
5	63	7.17347e-16
5	64	7.16158e-16
5	65	7.149e-16
5	66	7.13576e-16
5	67	7.12191e-16
5	68	7.10749e-16
5	69	7.09256e-16
5	70	7.07716e-16
5	71	7.06134e-16
5	72	7.04517e-16
5	73	7.0287e-16
5	74	7.01198e-16
5	75	6.9951e-16
5	76	6.97809e-16
5	77	6.96105e-16
5	78	6.94402e-16
5	79	6.92709e-16
5	80	6.91032e-16
5	81	6.89378e-16
5	82	6.87754e-16
5	83	6.86168e-16
5	84	6.84626e-16
5	85	6.83136e-16
5	86	6.81705e-16
5	87	6.80338e-16
5	88	6.79043e-16
5	89	6.77826e-16
5	90	6.76693e-16
5	91	6.7565e-16
5	92	6.74701e-16
5	93	6.73852e-16
5	94	6.73107e-16
5	95	6.7247e-16
5	96	6.71944e-16
5	97	6.71532e-16
5	98	6.71237e-16
5	99	6.71058e-16

6	0	6.92662e-16
6	1	6.71058e-16
6	2	6.71237e-16
6	3	6.71532e-16
6	4	6.71944e-16
6	5	6.7247e-16
6	6	6.73107e-16
6	7	6.73852e-16
6	8	6.74701e-16
6	9	6.7565e-16
6	10	6.76693e-16
6	11	6.77826e-16
6	12	6.79043e-16
6	13	6.80338e-16
6	14	6.81705e-16
6	15	6.83136e-16
6	16	6.84626e-16
6	17	6.86168e-16
6	18	6.87754e-16
6	19	6.89378e-16
6	20	6.91032e-16
6	21	6.92709e-16
6	22	6.94402e-16
6	23	6.96105e-16
6	24	6.97809e-16
6	25	6.9951e-16
6	26	7.01198e-16
6	27	7.0287e-16
6	28	7.04517e-16
6	29	7.06134e-16
6	30	7.07716e-16
6	31	7.09256e-16
6	32	7.10749e-16
6	33	7.12191e-16
6	34	7.13576e-16
6	35	7.149e-16
6	36	7.16158e-16
6	37	7.17347e-16
6	38	7.18462e-16
6	39	7.19501e-16
6	40	7.2046e-16
6	41	7.21337e-16
6	42	7.22128e-16
