#1:kx	2:n	3:s(n)
3	76	9.07943e-18
3	77	9.1094e-18
3	78	9.02611e-18
3	79	9.2323e-18
3	80	9.13748e-18
3	81	9.13765e-18
3	82	9.17615e-18
3	83	9.27554e-18
3	84	9.24351e-18
3	85	9.3116e-18
3	86	9.24942e-18
3	87	9.25251e-18
3	88	9.39277e-18
3	89	9.4619e-18
3	90	9.45753e-18
3	91	9.58127e-18
3	92	9.73966e-18
3	93	9.8831e-18
3	94	1.00101e-17
3	95	1.01193e-17
3	96	1.02099e-17
3	97	1.02811e-17
3	98	1.03323e-17
3	99	1.03632e-17

4	0	1.03735e-17
4	1	1.03632e-17
4	2	1.03323e-17
4	3	1.02811e-17
4	4	1.02099e-17
4	5	1.01193e-17
4	6	1.00101e-17
4	7	9.8831e-18
4	8	9.73966e-18
4	9	9.58127e-18
4	10	9.40977e-18
4	11	9.22741e-18
4	12	9.03687e-18
4	13	8.90631e-18
4	14	8.91518e-18
4	15	8.8618e-18
4	16	8.83661e-18
4	17	8.83276e-18
4	18	8.86698e-18
4	19	8.88616e-18
4	20	8.94458e-18
4	21	8.90259e-18
4	22	8.8818e-18
4	23	8.88899e-18
4	24	8.92601e-18
4	25	8.8831e-18
4	26	8.88152e-18
4	27	8.9802e-18
4	28	8.94189e-18
4	29	9.11063e-18
4	30	9.10412e-18
4	31	8.98973e-18
4	32	9.11936e-18
4	33	9.17988e-18
4	34	9.41378e-18
4	35	9.64455e-18
4	36	9.86931e-18
4	37	1.00856e-17
4	38	1.02915e-17
4	39	1.04851e-17
4	40	1.06652e-17
4	41	1.08306e-17
4	42	1.09804e-17
4	43	1.11139e-17
4	44	1.12306e-17
4	45	1.13299e-17
4	46	1.14116e-17
4	47	1.14754e-17
4	48	1.15211e-17
4	49	1.15485e-17
4	50	1.15577e-17
4	51	1.15485e-17
4	52	1.15211e-17
4	53	1.14754e-17
4	54	1.14116e-17
4	55	1.13299e-17
4	56	1.12306e-17
4	57	1.11139e-17
4	58	1.09804e-17
4	59	1.08306e-17
4	60	1.06652e-17
4	61	1.04851e-17
4	62	1.02915e-17
4	63	1.00856e-17
4	64	9.86931e-18
4	65	9.64455e-18
4	66	9.41378e-18
4	67	9.17988e-18
4	68	9.16241e-18
4	69	9.05365e-18
4	70	9.10615e-18
4	71	9.0162e-18
4	72	8.98623e-18
4	73	9.0641e-18
4	74	9.16253e-18
4	75	9.05459e-18
4	76	9.10562e-18
4	77	9.11008e-18
4	78	9.12447e-18
4	79	9.23923e-18
4	80	9.17583e-18
4	81	9.16602e-18
4	82	9.21082e-18
4	83	9.2883e-18
4	84	9.24732e-18
4	85	9.33509e-18
4	86	9.28801e-18
4	87	9.30169e-18
4	88	9.39624e-18
4	89	9.48389e-18
4	90	9.46388e-18
4	91	9.58127e-18
4	92	9.73966e-18
4	93	9.8831e-18
4	94	1.00101e-17
4	95	1.01193e-17
4	96	1.02099e-17
4	97	1.02811e-17
4	98	1.03323e-17
4	99	1.03632e-17

5	0	1.03735e-17
5	1	1.03632e-17
5	2	1.03323e-17
5	3	1.02811e-17
5	4	1.02099e-17
5	5	1.01193e-17
5	6	1.00101e-17
5	7	9.8831e-18
5	8	9.73966e-18
5	9	9.58127e-18
5	10	9.40977e-18
5	11	9.22741e-18
5	12	9.03687e-18
5	13	8.94281e-18
5	14	8.9166e-18
5	15	8.86564e-18
5	16	8.84475e-18
5	17	8.86862e-18
5	18	8.88069e-18
5	19	8.95969e-18
