#1:n	2:kx	3:s(n,kx)
12	5	8.55035e-16
12	6	8.69524e-16
12	7	8.62611e-16
12	8	8.81944e-16
12	9	8.94203e-16
12	10	8.73509e-16
12	11	8.82299e-16
12	12	8.75138e-16
12	13	8.53597e-16
12	14	8.62894e-16
12	15	8.53751e-16
12	16	8.47307e-16
12	17	8.24841e-16
12	18	8.73926e-16
12	19	8.53084e-16
12	20	8.47578e-16
12	21	8.51413e-16
12	22	8.34017e-16
12	23	8.37848e-16
12	24	8.47967e-16
12	25	8.58204e-16
12	26	8.61889e-16
12	27	9.03869e-16
12	28	8.71053e-16
12	29	8.74217e-16
12	30	8.79648e-16
12	31	8.89908e-16
12	32	8.92217e-16
12	33	8.82976e-16
12	34	8.82353e-16
12	35	9.03993e-16
12	36	9.02089e-16
12	37	8.89341e-16
12	38	8.86482e-16
12	39	9.10758e-16

13	0	7.83333e-16
13	1	8.21993e-16
13	2	8.64017e-16
13	3	8.57521e-16
13	4	8.49038e-16
13	5	8.60845e-16
13	6	8.74902e-16
13	7	8.64197e-16
13	8	8.87901e-16
13	9	8.96491e-16
13	10	8.76388e-16
13	11	8.85886e-16
13	12	8.87864e-16
13	13	8.60395e-16
13	14	8.71357e-16
13	15	8.60383e-16
13	16	8.50173e-16
13	17	8.48537e-16
13	18	8.78036e-16
13	19	8.56525e-16
13	20	8.57739e-16
13	21	8.58688e-16
13	22	8.35001e-16
13	23	8.44132e-16
13	24	8.49794e-16
13	25	8.69071e-16
13	26	8.6408e-16
13	27	9.09341e-16
13	28	8.77451e-16
13	29	8.90475e-16
13	30	8.92006e-16
13	31	8.91131e-16
13	32	8.94521e-16
13	33	8.85449e-16
13	34	8.97502e-16
13	35	9.09857e-16
13	36	9.0365e-16
13	37	8.97481e-16
13	38	8.86651e-16
13	39	9.23717e-16

14	0	7.84261e-16
14	1	8.2515e-16
14	2	8.65365e-16
14	3	8.60915e-16
14	4	8.53297e-16
14	5	8.61258e-16
14	6	8.75065e-16
14	7	8.72908e-16
14	8	8.96247e-16
14	9	8.98592e-16
14	10	8.86142e-16
14	11	9.01652e-16
14	12	8.89903e-16
14	13	8.64869e-16
14	14	8.75039e-16
14	15	8.6572e-16
14	16	8.66207e-16
14	17	8.52555e-16
14	18	8.79069e-16
14	19	8.73804e-16
14	20	8.58204e-16
14	21	8.66448e-16
14	22	8.53243e-16
14	23	8.59596e-16
14	24	8.5649e-16
14	25	8.73669e-16
14	26	8.66047e-16
14	27	9.11974e-16
14	28	8.80222e-16
14	29	8.97652e-16
14	30	8.94367e-16
14	31	9.15861e-16
14	32	8.95968e-16
14	33	8.92867e-16
14	34	9.03186e-16
14	35	9.22881e-16
14	36	9.07605e-16
14	37	8.98273e-16
14	38	8.87077e-16
14	39	9.30632e-16

15	0	7.90332e-16
15	1	8.40515e-16
15	2	8.65833e-16
15	3	8.64073e-16
15	4	8.53491e-16
15	5	8.69806e-16
15	6	8.78548e-16
15	7	8.762e-16
15	8	9.08635e-16
15	9	9.06961e-16
15	10	9.23624e-16
15	11	9.02635e-16
15	12	9.23223e-16
15	13	8.86835e-16
15	14	8.78515e-16
15	15	8.77335e-16
15	16	8.7469e-16
15	17	8.95934e-16
15	18	8.8924e-16
15	19	8.79488e-16
15	20	8.604e-16
15	21	8.67601e-16
15	22	8.55348e-16
15	23	8.88503e-16
15	24	8.59126e-16
15	25	8.92245e-16
15	26	8.68212e-16
15	27	9.14835e-16
15	28	8.86788e-16
15	29	8.98599e-16
15	30	8.9477e-16
15	31	9.26019e-16
15	32	8.9953e-16
15	33	8.97512e-16
15	34	9.17011e-16
15	35	9.2731e-16
15	36	9.09137e-16
15	37	9.13529e-16
15	38	9.02191e-16
15	39	9.30848e-16

16	0	7.96932e-16
16	1	8.70424e-16
16	2	8.74792e-16
16	3	8.65266e-16
16	4	8.57817e-16
16	5	8.70285e-16
16	6	8.79762e-16
16	7	8.76548e-16
16	8	9.16535e-16
16	9	9.10865e-16
16	10	9.26434e-16
16	11	9.31834e-16
16	12	9.23397e-16
16	13	8.92731e-16
16	14	8.79836e-16
16	15	8.8456e-16
16	16	8.8821e-16
16	17	9.02073e-16
16	18	8.89272e-16
16	19	8.81508e-16
16	20	8.74147e-16
16	21	8.80166e-16
16	22	8.74412e-16
16	23	9.01226e-16
16	24	8.60828e-16
16	25	9.02294e-16
16	26	8.75793e-16
16	27	9.21217e-16
16	28	8.89284e-16
16	29	9.03223e-16
16	30	9.09195e-16
16	31	9.27263e-16
16	32	9.03687e-16
16	33	8.98377e-16
16	34	9.21129e-16
16	35	9.29177e-16
16	36	9.18586e-16
16	37	9.24419e-16
16	38	9.04016e-16
16	39	9.37124e-16

17	0	8.00304e-16
17	1	8.72467e-16
17	2	8.78799e-16
17	3	8.75361e-16
17	4	8.60002e-16
17	5	8.75288e-16
17	6	8.98197e-16
17	7	8.99451e-16
17	8	9.21572e-16
17	9	9.17144e-16
17	10	9.40762e-16
17	11	9.43383e-16
