#1:kx	2:n	3:s(n)
4	77	1.46583e-17
4	78	1.46609e-17
4	79	1.46884e-17
4	80	1.48118e-17
4	81	1.45993e-17
4	82	1.4631e-17
4	83	1.46802e-17
4	84	1.46644e-17
4	85	1.48679e-17
4	86	1.47485e-17
4	87	1.47123e-17
4	88	1.47318e-17
4	89	1.4792e-17
4	90	1.47398e-17
4	91	1.48831e-17
4	92	1.47741e-17
4	93	1.46789e-17
4	94	1.48598e-17
4	95	1.47406e-17
4	96	1.48384e-17
4	97	1.47954e-17
4	98	1.50192e-17
4	99	1.48215e-17

5	0	1.28876e-17
5	1	1.37581e-17
5	2	1.37323e-17
5	3	1.39407e-17
5	4	1.39452e-17
5	5	1.3791e-17
5	6	1.3841e-17
5	7	1.39356e-17
5	8	1.39188e-17
5	9	1.40829e-17
5	10	1.40245e-17
5	11	1.40338e-17
5	12	1.42227e-17
5	13	1.40932e-17
5	14	1.417e-17
5	15	1.41667e-17
5	16	1.42766e-17
5	17	1.42734e-17
5	18	1.4272e-17
5	19	1.437e-17
5	20	1.44288e-17
5	21	1.44644e-17
5	22	1.43593e-17
5	23	1.44293e-17
5	24	1.43908e-17
5	25	1.45084e-17
5	26	1.447e-17
5	27	1.45267e-17
5	28	1.45604e-17
5	29	1.46562e-17
5	30	1.46263e-17
5	31	1.45157e-17
5	32	1.46362e-17
5	33	1.43312e-17
5	34	1.43177e-17
5	35	1.4567e-17
5	36	1.45098e-17
5	37	1.45999e-17
5	38	1.45661e-17
5	39	1.45135e-17
5	40	1.45583e-17
5	41	1.4519e-17
5	42	1.45613e-17
5	43	1.46031e-17
5	44	1.47445e-17
5	45	1.46131e-17
5	46	1.46196e-17
5	47	1.45964e-17
5	48	1.46508e-17
5	49	1.46741e-17
5	50	1.44577e-17
5	51	1.45235e-17
5	52	1.46045e-17
5	53	1.46236e-17
5	54	1.45292e-17
5	55	1.44477e-17
5	56	1.43763e-17
5	57	1.43994e-17
5	58	1.43285e-17
5	59	1.43602e-17
5	60	1.43959e-17
5	61	1.43887e-17
5	62	1.44893e-17
5	63	1.45798e-17
5	64	1.44599e-17
5	65	1.45448e-17
5	66	1.4662e-17
5	67	1.4652e-17
5	68	1.46263e-17
5	69	1.45653e-17
5	70	1.46299e-17
5	71	1.46112e-17
5	72	1.4517e-17
5	73	1.45486e-17
5	74	1.45926e-17
5	75	1.45272e-17
5	76	1.46104e-17
5	77	1.47092e-17
5	78	1.46772e-17
5	79	1.4705e-17
5	80	1.48223e-17
5	81	1.46126e-17
5	82	1.46383e-17
5	83	1.46933e-17
5	84	1.46947e-17
5	85	1.48778e-17
5	86	1.48041e-17
5	87	1.47436e-17
5	88	1.47318e-17
5	89	1.48681e-17
5	90	1.47458e-17
5	91	1.48865e-17
5	92	1.47815e-17
5	93	1.47571e-17
5	94	1.49159e-17
5	95	1.47672e-17
5	96	1.48789e-17
5	97	1.48247e-17
5	98	1.50315e-17
5	99	1.48461e-17

6	0	1.28948e-17
6	1	1.37679e-17
6	2	1.37631e-17
6	3	1.39423e-17
6	4	1.39493e-17
6	5	1.38315e-17
6	6	1.38774e-17
6	7	1.39392e-17
6	8	1.39923e-17
6	9	1.40977e-17
6	10	1.40328e-17
6	11	1.40487e-17
6	12	1.42344e-17
